payroll_id,employee_id,pay_period_start,pay_period_end,pay_date,payroll_type,base_salary,hourly_rate,hours_worked,overtime_hours,overtime_rate_multiplier,gross_earnings,bonus_amount,commission_amount,allowance_amount,other_earnings,deduction_tax,deduction_pf,deduction_insurance,deduction_loan,deduction_other,total_deductions,net_pay,ytd_gross,ytd_tax,ytd_net,currency_code,payment_method,bank_account_number,status,created_at,created_by,updated_at,updated_by,is_active,notes,tax_regime,effective_from,effective_to
1,1,2023-01-01,2023-01-30,2023-01-31,Monthly,9144.53,,,11.84,2.0,13456.43,725.19,961.66,506.41,765.25,3728.89,737.78,6.03,899.03,41.96,5413.69,8042.74,94195.01,26102.23,56299.18,USD,Bank Transfer,1055148547,Processed,2026-01-01 16:38:39,9,2026-01-01 20:38:39,32,True,,Old Regime,,
2,2,2023-01-01,2023-01-28,2023-02-02,Monthly,9715.09,,,4.95,1.5,15221.99,999.41,1711.0,1353.61,992.04,1784.51,894.04,353.19,427.05,312.68,3771.47,11450.52,167441.89,19629.61,125955.72,USD,Bank Transfer,8849689299,Processed,2025-11-05 16:38:39,1,2025-11-05 22:38:39,49,True,Adjustment for overtime,Old Regime,2023-01-11,2023-09-20
3,3,2023-01-01,2023-01-29,2023-01-31,Monthly,7313.67,,,0.05,2.0,8907.75,176.49,528.24,203.23,681.55,1476.85,639.89,495.1,563.17,98.16,3273.17,5634.58,80169.75,13291.65,50711.22,USD,Bank Transfer,3400285732,Processed,2025-12-30 16:38:39,43,2025-12-30 19:38:39,45,True,Adjustment for overtime,Old Regime,2024-07-29,2025-06-12
4,4,2023-01-01,2023-01-28,2023-01-31,Monthly,11930.72,,,7.66,1.5,18312.5,2165.11,1127.24,1507.09,725.57,5346.0,1108.21,24.09,614.38,132.65,7225.33,11087.17,128187.5,37422.0,77610.19,USD,Bank Transfer,7657263162,Processed,2026-01-18 16:38:39,48,2026-01-18 17:38:39,47,False,Tax revision,Old Regime,2023-05-14,2023-09-26
5,5,2023-01-01,2023-02-01,2023-02-05,Monthly,10811.0,,,16.11,1.5,19080.71,4143.78,806.6,1276.01,410.52,2023.56,1024.74,213.73,6.13,59.72,3327.88,15752.83,190807.1,20235.6,157528.3,USD,Bank Transfer,9800200338,Paid,2026-01-12 16:38:39,32,2026-01-12 21:38:39,23,True,Adjustment for overtime,,,
6,6,2023-01-01,2023-01-29,2023-02-03,Monthly,3515.97,,,6.17,1.5,11370.27,4800.83,498.86,1817.8,533.43,2172.39,720.93,87.92,323.24,34.99,3339.47,8030.8,34110.81,6517.17,24092.4,USD,Bank Transfer,3831393512,Processed,2025-05-11 16:38:39,33,2025-05-11 20:38:39,24,False,Adjustment for overtime,,,
7,7,2023-01-01,2023-01-31,2023-02-03,Monthly,3795.04,,,15.93,2.0,12063.54,4594.84,267.66,1852.14,798.17,3127.06,609.86,100.29,439.44,146.22,4422.87,7640.67,132698.94,34397.66,84047.37,USD,Bank Transfer,8909491616,Processed,2025-06-01 16:38:39,48,2025-06-01 17:38:39,44,True,Bonus included,New Regime,2024-01-24,2024-10-09
8,8,2023-01-01,2023-02-01,2023-02-04,Monthly,4465.84,,,17.56,2.0,13792.82,4050.47,2640.62,854.35,801.29,1824.38,762.0,22.75,995.56,177.65,3782.34,10010.48,137928.2,18243.8,100104.8,USD,Check,4325693529,Processed,2025-11-13 16:38:39,16,2025-11-13 17:38:39,31,True,Adjustment for overtime,New Regime,,
9,9,2023-01-01,2023-01-28,2023-02-02,Monthly,10173.17,,,17.93,1.5,17372.67,492.87,2278.56,1975.11,742.91,1859.44,1465.6,367.25,607.66,222.51,4522.46,12850.21,52118.01,5578.32,38550.63,USD,Bank Transfer,1356317271,Processed,2025-04-05 16:38:39,8,2025-04-05 22:38:39,50,True,Adjustment for overtime,New Regime,2024-05-28,2024-09-19
10,10,2023-01-01,2023-01-28,2023-02-01,One-time,3794.56,,,19.9,2.0,10935.26,3683.39,1276.2,923.16,314.05,2620.54,1003.65,113.87,385.37,392.65,4516.08,6419.18,120287.86,28825.94,70610.98,INR,Bank Transfer,6362642632,Processed,2025-03-11 16:38:39,26,2025-03-11 20:38:39,27,True,,Old Regime,,
11,11,2023-01-01,2023-01-31,2023-02-02,Monthly,,38.59,162.08,0.8,2.0,9879.22,397.44,2182.68,961.97,20.72,2741.24,679.68,122.5,772.08,476.04,4791.54,5087.68,88912.98,24671.16,45789.12,USD,Bank Transfer,2242633766,Processed,2025-02-17 16:38:39,38,2025-02-17 18:38:39,34,True,Adjustment for overtime,,2024-03-13,2024-06-09
12,12,2023-01-01,2023-01-31,2023-02-02,Monthly,,70.4,149.32,6.31,2.0,15190.9,604.14,1899.61,493.98,792.59,3687.91,1209.59,188.18,587.34,427.45,6100.47,9090.43,60763.6,14751.64,36361.72,USD,Check,5934292041,Processed,2025-07-02 16:38:39,46,2025-07-02 18:38:39,40,True,,Old Regime,2023-05-24,2024-02-10
13,13,2023-01-01,2023-01-30,2023-02-03,Monthly,11941.21,,,2.6,2.0,16819.41,2824.31,1242.8,377.94,45.06,2658.49,1329.73,207.33,526.79,244.85,4967.19,11852.22,201832.92,31901.88,142226.64,INR,Check,5143920972,Processed,2025-02-10 16:38:39,8,2025-02-10 20:38:39,32,True,Adjustment for overtime,New Regime,,
14,14,2023-01-01,2023-01-30,2023-02-02,Monthly,9615.99,,,2.68,2.0,13955.82,183.19,2951.28,318.35,564.87,4062.63,983.08,3.65,704.42,76.06,5829.84,8125.98,41867.46,12187.89,24377.94,USD,Bank Transfer,7405243583,Draft,2025-07-04 16:38:39,2,2025-07-04 21:38:39,29,True,,New Regime,,
15,15,2023-01-01,2023-01-31,2023-02-04,Monthly,5388.2,,,1.52,2.0,9446.96,1323.79,1455.58,1150.66,26.35,1574.96,779.9,431.97,968.59,50.65,3806.07,5640.89,85022.64,14174.64,50768.01,USD,Check,5649074227,Processed,2026-01-08 16:38:39,30,2026-01-08 19:38:39,43,True,Adjustment for overtime,Old Regime,2024-06-04,2024-07-10
16,16,2023-01-01,2023-02-01,2023-02-04,Monthly,,36.14,171.77,9.07,1.5,11134.64,2654.55,1233.42,79.82,467.4,2547.1,805.85,451.34,472.01,12.93,4289.23,6845.41,66807.84,15282.6,41072.46,USD,Check,3094483292,Processed,2025-03-24 16:38:39,22,2025-03-24 20:38:39,19,True,Tax revision,Old Regime,,
17,17,2023-01-01,2023-01-31,2023-02-05,Monthly,7245.71,,,12.02,2.0,15048.33,2531.76,2455.79,1525.92,200.48,2666.01,1196.84,427.66,272.87,304.44,4867.82,10180.51,180579.96,31992.12,122166.12,USD,Bank Transfer,8351458465,Draft,2025-07-04 16:38:39,23,2025-07-04 18:38:39,27,True,Tax revision,,2024-01-15,2024-08-21
18,18,2023-01-01,2023-01-29,2023-01-30,Monthly,,34.09,175.91,0.32,2.0,9692.86,2012.6,640.11,514.96,506.6,2742.76,632.23,190.12,501.1,221.84,4288.05,5404.81,67850.02,19199.32,37833.67,USD,Bank Transfer,1988740882,Draft,2025-08-24 16:38:39,32,2025-08-24 20:38:39,14,True,,,2024-08-14,2025-03-18
19,19,2023-01-01,2023-02-01,2023-02-04,Monthly,8782.86,,,12.74,2.0,15145.74,1021.01,2986.69,931.02,25.49,1772.02,1344.28,412.29,500.15,81.99,4110.73,11035.01,60582.96,7088.08,44140.04,USD,Check,2100299902,Processed,2025-12-15 16:38:39,32,2025-12-15 17:38:39,17,True,Bonus included,Old Regime,2023-06-22,2024-02-18
20,20,2023-01-01,2023-01-30,2023-02-01,Monthly,9098.64,,,12.68,2.0,17171.01,2495.23,1409.61,1804.68,920.72,2732.15,1390.92,270.19,116.88,339.19,4849.33,12321.68,154539.09,24589.35,110895.12,USD,Bank Transfer,2235438143,Paid,2026-01-11 16:38:39,1,2026-01-11 22:38:39,33,True,Bonus included,Old Regime,2024-02-04,2024-07-28
21,21,2023-01-01,2023-01-29,2023-01-31,Monthly,,51.61,156.12,12.72,1.5,12411.07,1049.55,1894.95,119.93,304.57,1354.74,707.89,298.12,728.12,467.09,3555.96,8855.11,124110.7,13547.4,88551.1,USD,Bank Transfer,7487739118,Processed,2025-04-06 16:38:39,47,2025-04-06 22:38:39,20,True,Bonus included,Old Regime,,
22,22,2023-01-01,2023-01-30,2023-01-31,Bi-weekly,,57.22,172.25,2.21,2.0,18455.5,4934.82,967.06,1507.11,937.45,4086.57,1666.6,59.26,517.91,278.27,6608.61,11846.89,36911.0,8173.14,23693.78,USD,Bank Transfer,2170354670,Processed,2025-06-14 16:38:39,10,2025-06-14 22:38:39,32,True,Bonus included,Old Regime,,
23,23,2023-01-01,2023-02-01,2023-02-03,One-time,7166.25,,,10.65,1.5,14183.39,2784.05,1863.5,846.81,807.27,3665.68,921.11,463.6,962.63,415.7,6428.72,7754.67,141833.9,36656.8,77546.7,USD,Check,7108097411,Processed,2025-06-30 16:38:39,38,2025-06-30 22:38:39,28,True,Tax revision,New Regime,2023-08-18,2024-02-19
24,24,2023-01-01,2023-01-30,2023-01-31,Monthly,,22.5,175.02,1.23,2.0,9680.66,828.52,1920.27,1957.21,981.36,2107.42,788.5,454.5,760.19,330.47,4441.08,5239.58,48403.3,10537.1,26197.9,USD,Bank Transfer,7070322382,Paid,2025-10-22 16:38:39,35,2025-10-22 18:38:39,10,True,Tax revision,,,
25,25,2023-01-01,2023-01-30,2023-01-31,Bi-weekly,10509.13,,,3.97,2.0,16881.28,2624.23,1930.12,596.4,699.88,3417.11,1084.84,390.87,932.64,207.42,6032.88,10848.4,67525.12,13668.44,43393.6,USD,Bank Transfer,9061116062,Processed,2025-03-18 16:38:39,33,2025-03-18 22:38:39,44,True,Adjustment for overtime,,2023-07-21,2024-05-08
26,26,2023-01-01,2023-01-30,2023-02-03,Monthly,,35.35,147.53,10.29,2.0,12255.69,3614.77,1455.86,722.18,520.19,2531.41,1057.48,346.03,723.74,281.44,4940.1,7315.59,49022.76,10125.64,29262.36,USD,Cash,4166656075,Paid,2025-03-31 16:38:39,7,2025-03-31 18:38:39,22,True,Tax revision,,,
27,27,2023-01-01,2023-01-29,2023-02-01,Monthly,7398.81,,,1.29,1.5,12709.34,814.76,2980.56,1326.44,99.29,3780.18,1207.45,222.41,85.34,220.69,5516.07,7193.27,139802.74,41581.98,79125.97,USD,Bank Transfer,3511545904,Paid,2025-10-07 16:38:39,38,2025-10-07 19:38:39,12,True,Bonus included,Old Regime,,
28,28,2023-01-01,2023-01-29,2023-02-03,Monthly,,43.51,149.4,8.46,1.5,11965.5,913.34,2855.36,746.26,398.0,2278.94,942.53,425.77,525.32,347.11,4519.67,7445.83,47862.0,9115.76,29783.32,USD,Bank Transfer,5736445033,Draft,2025-09-02 16:38:39,23,2025-09-02 22:38:39,48,True,Bonus included,,2024-01-27,2024-09-25
29,29,2023-01-01,2023-02-01,2023-02-03,Monthly,11814.51,,,9.19,2.0,17856.97,574.54,2103.75,1849.76,157.22,3345.59,1043.51,333.8,511.52,321.9,5556.32,12300.65,124998.79,23419.13,86104.55,EUR,Cash,8298346028,Draft,2025-03-28 16:38:39,31,2025-03-28 19:38:39,33,True,,Old Regime,,
30,30,2023-01-01,2023-01-30,2023-02-03,Monthly,4500.6,,,3.65,2.0,9435.44,1799.78,198.62,1765.49,965.61,1321.75,635.85,172.36,644.62,468.39,3242.97,6192.47,66048.08,9252.25,43347.29,INR,Bank Transfer,2994106609,Processed,2025-05-17 16:38:39,33,2025-05-17 18:38:39,20,True,,,2023-03-29,2024-02-04
31,31,2023-01-01,2023-01-30,2023-01-31,Monthly,11226.15,,,12.76,1.5,18868.43,2655.24,2825.75,547.11,271.25,2127.53,1822.88,278.63,801.31,451.71,5482.06,13386.37,188684.3,21275.3,133863.7,INR,Cash,7978132158,Paid,2025-12-05 16:38:39,2,2025-12-05 21:38:39,33,True,Bonus included,New Regime,,
32,32,2023-01-01,2023-02-01,2023-02-03,Monthly,4132.11,,,15.48,1.5,13018.78,3745.68,2032.47,1695.39,813.46,3559.6,988.26,132.6,602.64,467.5,5750.6,7268.18,117169.02,32036.4,65413.62,USD,Check,2815881990,Draft,2026-01-18 16:38:39,34,2026-01-18 19:38:39,8,True,Tax revision,Old Regime,2023-11-23,2024-06-20
33,33,2023-01-01,2023-01-28,2023-01-29,Monthly,5059.32,,,4.43,2.0,9349.62,2760.64,677.92,535.97,35.61,2798.35,912.03,495.73,733.34,151.61,5091.06,4258.56,56097.72,16790.1,25551.36,INR,Cash,8792091153,Processed,2025-07-15 16:38:39,2,2025-07-15 17:38:39,12,True,,New Regime,2024-01-10,2024-10-02
